Date,County,Total,Serious(Hospitalized),Dead
06.04.2020,Essex,1653,,31
06.04.2020,Franklin,107,,13
06.04.2020,Hampden,889,,39
06.04.2020,Hampshire,147,,3
06.04.2020,Middlesex,2950,,48
06.04.2020,Nantucket,9,,0
06.04.2020,Norfolk,1382,,30
06.04.2020,Plymouth,1067,,14
06.04.2020,Suffolk,2929,,33
06.04.2020,Unknown,246,,2
06.04.2020,Worcester,1077,,19
07.04.2020,Barnstable,405,,10
07.04.2020,Berkshire,278,,18
07.04.2020,Bristol,768,,16
07.04.2020,Dukes,9,,0
07.04.2020,Essex,1841,,37
07.04.2020,Franklin,118,,17
07.04.2020,Hampden,997,,56
07.04.2020,Hampshire,158,,3
07.04.2020,Middlesex,3187,,69
07.04.2020,Nantucket,9,,0
07.04.2020,Norfolk,1592,,36
07.04.2020,Plymouth,1194,,25
07.04.2020,Suffolk,3245,,42
07.04.2020,Unknown,229,,3
07.04.2020,Worcester,1172,,24
08.04.2020,Barnstable,423,,11
08.04.2020,Berkshire,281,,20
08.04.2020,Bristol,835,,23
08.04.2020,Dukes,8,,0
08.04.2020,Essex,2103,,52
08.04.2020,Franklin,117,,21
08.04.2020,Hampden,1081,,64
08.04.2020,Hampshire,164,,3
08.04.2020,Middlesex,3545,,80
08.04.2020,Nantucket,9,,0
08.04.2020,Norfolk,1778,,42
08.04.2020,Plymouth,1327,,32
08.04.2020,Suffolk,3600,,50
08.04.2020,Unknown,223,,5
08.04.2020,Worcester,1296,,30
09.04.2020,Barnstable,444,,12
09.04.2020,Berkshire,304,,21
09.04.2020,Bristol,994,,28
09.04.2020,Dukes,9,,0
09.04.2020,Essex,2336,,61
09.04.2020,Franklin,128,,22
09.04.2020,Hampden,1276,,81
09.04.2020,Hampshire,177,,3
09.04.2020,Middlesex,4045,,93
09.04.2020,Nantucket,9,,0
09.04.2020,Norfolk,2007,,52
09.04.2020,Plymouth,1507,,38
09.04.2020,Suffolk,4041,,56
09.04.2020,Unknown,203,,5
09.04.2020,Worcester,1461,,31
10.04.2020,Barnstable,464,,13
10.04.2020,Berkshire,329,,22
10.04.2020,Bristol,1086,,33
10.04.2020,Dukes,12,,0
10.04.2020,Essex,2670,,80
10.04.2020,Franklin,135,,22
10.04.2020,Hampden,1394,,88
10.04.2020,Hampshire,194,,4
10.04.2020,Middlesex,4447,,109
10.04.2020,Nantucket,9,,0
10.04.2020,Norfolk,2216,,66
10.04.2020,Plymouth,1677,,46
10.04.2020,Suffolk,4534,,73
10.04.2020,Unknown,129,,5
10.04.2020,Worcester,1678,,38
11.04.2020,Barnstable,480,,15
11.04.2020,Berkshire,336,,22
11.04.2020,Bristol,1191,,39
11.04.2020,Dukes,12,,0
11.04.2020,Essex,2896,,92
11.04.2020,Franklin,138,,23
